yearOfRegistration,ageBroad,meansOfControlTakesEarnings,meansOfControlThreats,meansOfControlPsychologicalAbuse,meansOfControlPhysicalAbuse,meansOfControlSexualAbuse,meansOfControlPsychoactiveSubstances,meansOfControlRestrictsMovement,meansOfControlUsesChildren,meansOfControlThreatOfLawEnforcement,isForcedLabour,isSexualExploit,isOtherExploit,isAbduction,recruiterRelationIntimatePartner,recruiterRelationFriend,recruiterRelationFamily,recruiterRelationOther
2015,18--20,14,24,34,36,11,15,37,1,0,0,134,0,0,27,4,13,10
2015,21--23,16,24,30,29,9,21,30,3,0,0,96,0,0,17,4,4,10
2015,24--26,13,18,23,12,3,9,14,0,1,0,61,0,0,18,5,3,3
2015,27--29,0,2,0,4,2,3,2,0,0,0,14,0,0,0,0,0,0
2015,30--38,14,17,33,21,7,13,14,6,1,0,74,0,0,22,0,9,7
2015,9--17,9,23,57,31,25,34,19,0,0,0,253,0,0,30,21,32,23
2016,18--20,24,48,52,53,18,31,44,0,0,0,217,0,0,38,17,7,15
2016,21--23,23,33,41,66,24,36,41,3,0,0,180,0,0,28,12,6,8
2016,24--26,13,31,39,30,16,28,30,4,1,0,141,0,0,32,11,3,13
2016,27--29,10,20,26,24,5,18,15,3,1,0,85,0,0,21,4,3,8
2016,30--38,15,48,44,57,29,31,39,4,5,0,166,0,0,41,10,4,16
2016,39--47,3,9,15,9,9,11,8,2,1,0,44,0,0,11,0,3,1
2016,48+,0,2,0,1,1,1,1,0,0,0,14,0,0,0,0,0,0
2016,9--17,16,45,84,42,32,81,34,1,2,0,380,0,0,44,23,54,24
2017,18--20,20,50,47,45,17,31,48,0,3,0,193,0,0,33,12,8,11
2017,21--23,19,46,33,40,14,28,34,2,1,0,130,0,0,21,12,9,9
2017,24--26,18,47,40,45,11,41,45,3,3,0,124,0,0,29,6,8,6
2017,27--29,15,35,32,29,10,21,31,5,4,0,96,0,0,19,7,5,8
2017,30--38,13,54,63,54,29,33,38,7,0,0,173,0,0,41,4,12,4
2017,39--47,4,21,20,11,8,12,7,0,1,0,65,0,0,9,2,6,2
2017,9--17,11,41,71,38,25,53,31,0,3,0,283,0,0,26,9,51,18
2018,18--20,15,30,41,32,20,20,34,3,0,0,104,0,0,25,9,8,7
2018,21--23,14,27,34,41,10,23,36,2,1,0,106,0,0,19,6,10,6
2018,24--26,6,27,22,17,11,22,23,1,1,0,73,0,0,13,1,3,2
2018,27--29,6,26,24,25,12,15,18,2,0,0,60,0,0,17,6,5,3
2018,30--38,7,29,36,33,20,29,29,3,1,0,100,0,0,32,5,10,3
2018,39--47,3,10,9,6,6,7,5,0,1,0,34,0,0,6,3,1,1
2018,48+,3,6,9,6,3,3,0,1,0,0,12,0,0,7,0,3,2
2018,9--17,6,30,68,34,35,39,31,2,1,0,179,0,0,22,11,58,16
